I, [2011-08-22T14:25:48.181023 #25430]  INFO -- : (0.036070s) SELECT * FROM `users` WHERE `id` = 1
I, [2011-08-22T14:31:40.341868 #25498]  INFO -- : (0.039738s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383528) LIMIT 1
I, [2011-08-22T14:31:40.386949 #25498]  INFO -- : (0.042671s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4795308) LIMIT 1
I, [2011-08-22T14:31:40.424670 #25498]  INFO -- : (0.036931s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4795308) LIMIT 1
I, [2011-08-22T14:31:40.466776 #25498]  INFO -- : (0.040555s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383309) LIMIT 1
I, [2011-08-22T14:31:40.511314 #25498]  INFO -- : (0.042926s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383309) LIMIT 1
I, [2011-08-22T14:31:40.581160 #25498]  INFO -- : (0.068416s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383309) LIMIT 1
I, [2011-08-22T14:31:40.687034 #25498]  INFO -- : (0.104451s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383309) LIMIT 1
I, [2011-08-22T14:31:40.741661 #25498]  INFO -- : (0.051890s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4795173) LIMIT 1
I, [2011-08-22T14:31:40.781755 #25498]  INFO -- : (0.039067s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4795173) LIMIT 1
I, [2011-08-22T14:31:40.837296 #25498]  INFO -- : (0.053671s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383198) LIMIT 1
I, [2011-08-22T14:31:40.877259 #25498]  INFO -- : (0.038437s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383198) LIMIT 1
I, [2011-08-22T14:31:40.919230 #25498]  INFO -- : (0.039910s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383198) LIMIT 1
I, [2011-08-22T14:31:40.956533 #25498]  INFO -- : (0.034198s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383198) LIMIT 1
I, [2011-08-22T14:31:40.992662 #25498]  INFO -- : (0.033728s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4795104) LIMIT 1
I, [2011-08-22T14:31:41.035365 #25498]  INFO -- : (0.041723s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4795104) LIMIT 1
I, [2011-08-22T14:31:41.078176 #25498]  INFO -- : (0.040700s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383168) LIMIT 1
I, [2011-08-22T14:31:41.122078 #25498]  INFO -- : (0.041774s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383168) LIMIT 1
I, [2011-08-22T14:31:41.161730 #25498]  INFO -- : (0.037742s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383168) LIMIT 1
I, [2011-08-22T14:31:41.235646 #25498]  INFO -- : (0.072359s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383168) LIMIT 1
I, [2011-08-22T14:31:41.271878 #25498]  INFO -- : (0.033797s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4795075) LIMIT 1
I, [2011-08-22T14:31:41.310599 #25498]  INFO -- : (0.037714s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4795075) LIMIT 1
I, [2011-08-22T14:31:41.352068 #25498]  INFO -- : (0.039412s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382928) LIMIT 1
I, [2011-08-22T14:31:41.475845 #25498]  INFO -- : (0.121725s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382928) LIMIT 1
I, [2011-08-22T14:31:41.517124 #25498]  INFO -- : (0.039354s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382928) LIMIT 1
I, [2011-08-22T14:31:41.556095 #25498]  INFO -- : (0.037528s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382928) LIMIT 1
I, [2011-08-22T14:31:41.593602 #25498]  INFO -- : (0.035000s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4794920) LIMIT 1
I, [2011-08-22T14:31:41.632189 #25498]  INFO -- : (0.037818s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4794920) LIMIT 1
I, [2011-08-22T14:31:41.670928 #25498]  INFO -- : (0.035813s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382833) LIMIT 1
I, [2011-08-22T14:31:41.712172 #25498]  INFO -- : (0.039133s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382833) LIMIT 1
I, [2011-08-22T14:31:41.753550 #25498]  INFO -- : (0.038962s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382833) LIMIT 1
I, [2011-08-22T14:31:41.795380 #25498]  INFO -- : (0.040297s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382833) LIMIT 1
I, [2011-08-22T14:31:41.836740 #25498]  INFO -- : (0.039340s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4794884) LIMIT 1
I, [2011-08-22T14:31:41.879285 #25498]  INFO -- : (0.041700s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4794884) LIMIT 1
I, [2011-08-22T14:31:41.919928 #25498]  INFO -- : (0.037680s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` IS NULL) LIMIT 1
I, [2011-08-22T14:31:41.971044 #25498]  INFO -- : (0.050278s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4794811) ORDER BY `id` LIMIT 1
I, [2011-08-22T14:31:42.013519 #25498]  INFO -- : (0.041156s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` IS NULL) LIMIT 1
I, [2011-08-22T14:31:42.052244 #25498]  INFO -- : (0.037623s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4794811) ORDER BY `id` LIMIT 1
I, [2011-08-22T14:31:42.097155 #25498]  INFO -- : (0.043345s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` IS NULL) LIMIT 1
I, [2011-08-22T14:31:42.137321 #25498]  INFO -- : (0.039265s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4794811) ORDER BY `id` LIMIT 1
I, [2011-08-22T14:31:42.175496 #25498]  INFO -- : (0.036871s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` IS NULL) LIMIT 1
I, [2011-08-22T14:31:42.219065 #25498]  INFO -- : (0.042412s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4794811) ORDER BY `id` LIMIT 1
I, [2011-08-22T14:31:42.273233 #25498]  INFO -- : (0.052091s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4794811) LIMIT 1
I, [2011-08-22T14:31:42.313645 #25498]  INFO -- : (0.039704s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4794811) LIMIT 1
I, [2011-08-22T14:31:42.353668 #25498]  INFO -- : (0.038758s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382496) LIMIT 1
I, [2011-08-22T14:31:42.398661 #25498]  INFO -- : (0.043605s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382496) LIMIT 1
I, [2011-08-22T14:31:42.438099 #25498]  INFO -- : (0.037967s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382496) LIMIT 1
I, [2011-08-22T14:31:42.498285 #25498]  INFO -- : (0.058959s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382496) LIMIT 1
I, [2011-08-22T14:31:42.533412 #25498]  INFO -- : (0.033070s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4794648) LIMIT 1
I, [2011-08-22T14:31:42.580928 #25498]  INFO -- : (0.046578s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4794648) LIMIT 1
I, [2011-08-22T14:31:42.621592 #25498]  INFO -- : (0.038796s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382084) LIMIT 1
I, [2011-08-22T14:31:42.663680 #25498]  INFO -- : (0.040642s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382084) LIMIT 1
I, [2011-08-22T14:31:42.703853 #25498]  INFO -- : (0.038637s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382084) LIMIT 1
I, [2011-08-22T14:31:42.745450 #25498]  INFO -- : (0.040353s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382084) LIMIT 1
I, [2011-08-22T14:31:42.794062 #25498]  INFO -- : (0.046491s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4794417) LIMIT 1
I, [2011-08-22T14:31:42.840774 #25498]  INFO -- : (0.045990s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4794417) LIMIT 1
I, [2011-08-22T14:31:42.997866 #25498]  INFO -- : (0.034108s) SELECT * FROM `tags` WHERE (`name` = 'funny')
I, [2011-08-22T14:31:43.092769 #25498]  INFO -- : (0.092637s) SELECT `videos`.`created_at`, `videos`.`comment`, `videos`.`embed_tag`, `videos`.`primary_groupvideo_id`, `videos`.`id`, `videos`.`flv_media`, `videos`.`up_votes_count`, `videos`.`thumbnail`, `videos`.`title`, `videos`.`total_views`, `videos`.`orig_title`, `videos`.`description`, `videos`.`media` FROM `videos` INNER JOIN `video_taggings` ON ((`video_taggings`.`record_id` = `videos`.`id`) AND (`video_taggings`.`tag_id` = 202)) ORDER BY `video_taggings`.`record_created_at` DESC LIMIT 10
I, [2011-08-22T14:31:43.160974 #25498]  INFO -- : (0.064406s) SELECT `videos`.`created_at`, `videos`.`comment`, `videos`.`embed_tag`, `videos`.`primary_groupvideo_id`, `videos`.`id`, `videos`.`flv_media`, `videos`.`up_votes_count`, `videos`.`thumbnail`, `videos`.`title`, `videos`.`total_views`, `videos`.`orig_title`, `videos`.`description`, `videos`.`media` FROM `videos` INNER JOIN `video_taggings` ON ((`video_taggings`.`record_id` = `videos`.`id`) AND (`video_taggings`.`tag_id` = 202)) ORDER BY `video_taggings`.`record_created_at` DESC LIMIT 10
I, [2011-08-22T14:31:43.227844 #25498]  INFO -- : (0.039444s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383779) LIMIT 1
I, [2011-08-22T14:31:43.268955 #25498]  INFO -- : (0.039248s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383779) LIMIT 1
I, [2011-08-22T14:31:43.313529 #25498]  INFO -- : (0.042720s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383779) LIMIT 1
I, [2011-08-22T14:31:43.358137 #25498]  INFO -- : (0.043164s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383779) LIMIT 1
I, [2011-08-22T14:31:43.427007 #25498]  INFO -- : (0.063385s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4795470) LIMIT 1
I, [2011-08-22T14:31:43.466219 #25498]  INFO -- : (0.038407s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4795470) LIMIT 1
I, [2011-08-22T14:31:43.513667 #25498]  INFO -- : (0.044236s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383528) LIMIT 1
I, [2011-08-22T14:31:43.570710 #25498]  INFO -- : (0.054744s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383528) LIMIT 1
I, [2011-08-22T14:31:43.609529 #25498]  INFO -- : (0.037056s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383528) LIMIT 1
I, [2011-08-22T14:31:43.648564 #25498]  INFO -- : (0.037515s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383528) LIMIT 1
I, [2011-08-22T14:31:43.681751 #25498]  INFO -- : (0.030800s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4795308) LIMIT 1
I, [2011-08-22T14:31:43.718860 #25498]  INFO -- : (0.036332s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4795308) LIMIT 1
I, [2011-08-22T14:31:43.835942 #25498]  INFO -- : (0.114853s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383309) LIMIT 1
I, [2011-08-22T14:31:43.875410 #25498]  INFO -- : (0.037112s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383309) LIMIT 1
I, [2011-08-22T14:31:44.110105 #25498]  INFO -- : (0.233075s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383309) LIMIT 1
I, [2011-08-22T14:31:44.180501 #25498]  INFO -- : (0.068886s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383309) LIMIT 1
I, [2011-08-22T14:31:44.274212 #25498]  INFO -- : (0.090529s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4795173) LIMIT 1
I, [2011-08-22T14:31:44.314293 #25498]  INFO -- : (0.038983s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4795173) LIMIT 1
I, [2011-08-22T14:31:44.370873 #25498]  INFO -- : (0.055137s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383198) LIMIT 1
I, [2011-08-22T14:31:44.525752 #25498]  INFO -- : (0.153542s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383198) LIMIT 1
I, [2011-08-22T14:31:44.578139 #25498]  INFO -- : (0.050827s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383198) LIMIT 1
I, [2011-08-22T14:31:44.660289 #25498]  INFO -- : (0.080800s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383198) LIMIT 1
I, [2011-08-22T14:31:44.707379 #25498]  INFO -- : (0.043990s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4795104) LIMIT 1
I, [2011-08-22T14:31:44.744104 #25498]  INFO -- : (0.035743s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4795104) LIMIT 1
I, [2011-08-22T14:31:44.786322 #25498]  INFO -- : (0.040139s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383168) LIMIT 1
I, [2011-08-22T14:31:44.850958 #25498]  INFO -- : (0.062992s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383168) LIMIT 1
I, [2011-08-22T14:31:44.891256 #25498]  INFO -- : (0.037710s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383168) LIMIT 1
I, [2011-08-22T14:31:45.035437 #25498]  INFO -- : (0.142306s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7383168) LIMIT 1
I, [2011-08-22T14:31:45.076336 #25498]  INFO -- : (0.038544s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4795075) LIMIT 1
I, [2011-08-22T14:31:45.114422 #25498]  INFO -- : (0.037376s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4795075) LIMIT 1
I, [2011-08-22T14:31:45.226035 #25498]  INFO -- : (0.109890s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382928) LIMIT 1
I, [2011-08-22T14:31:45.265349 #25498]  INFO -- : (0.037966s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382928) LIMIT 1
I, [2011-08-22T14:31:45.306081 #25498]  INFO -- : (0.038809s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382928) LIMIT 1
I, [2011-08-22T14:31:45.345500 #25498]  INFO -- : (0.037914s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382928) LIMIT 1
I, [2011-08-22T14:31:45.391025 #25498]  INFO -- : (0.043171s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4794920) LIMIT 1
I, [2011-08-22T14:31:45.429298 #25498]  INFO -- : (0.037372s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4794920) LIMIT 1
I, [2011-08-22T14:31:45.499874 #25498]  INFO -- : (0.068793s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382833) LIMIT 1
I, [2011-08-22T14:31:45.625858 #25498]  INFO -- : (0.124572s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382833) LIMIT 1
I, [2011-08-22T14:31:45.667361 #25498]  INFO -- : (0.039913s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382833) LIMIT 1
I, [2011-08-22T14:31:45.705930 #25498]  INFO -- : (0.037016s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382833) LIMIT 1
I, [2011-08-22T14:31:46.038561 #25498]  INFO -- : (0.330351s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4794884) LIMIT 1
I, [2011-08-22T14:31:46.343753 #25498]  INFO -- : (0.304340s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4794884) LIMIT 1
I, [2011-08-22T14:31:46.380407 #25498]  INFO -- : (0.033984s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` IS NULL) LIMIT 1
I, [2011-08-22T14:31:46.436715 #25498]  INFO -- : (0.054743s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4794811) ORDER BY `id` LIMIT 1
I, [2011-08-22T14:31:46.476705 #25498]  INFO -- : (0.038623s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` IS NULL) LIMIT 1
I, [2011-08-22T14:31:46.516629 #25498]  INFO -- : (0.038955s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4794811) ORDER BY `id` LIMIT 1
I, [2011-08-22T14:31:46.555395 #25498]  INFO -- : (0.036949s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` IS NULL) LIMIT 1
I, [2011-08-22T14:31:46.591801 #25498]  INFO -- : (0.035213s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4794811) ORDER BY `id` LIMIT 1
I, [2011-08-22T14:31:46.630343 #25498]  INFO -- : (0.037114s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` IS NULL) LIMIT 1
I, [2011-08-22T14:31:46.671752 #25498]  INFO -- : (0.040178s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4794811) ORDER BY `id` LIMIT 1
I, [2011-08-22T14:31:46.726710 #25498]  INFO -- : (0.051656s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 4794811) LIMIT 1
I, [2011-08-22T14:31:46.768152 #25498]  INFO -- : (0.040526s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 4794811) LIMIT 1
I, [2011-08-22T14:31:46.807323 #25498]  INFO -- : (0.037755s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382496) LIMIT 1
I, [2011-08-22T14:31:46.847556 #25498]  INFO -- : (0.038655s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382496) LIMIT 1
I, [2011-08-22T14:31:46.888079 #25498]  INFO -- : (0.035981s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382496) LIMIT 1
I, [2011-08-22T14:31:46.990556 #25498]  INFO -- : (0.099912s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 7382496) LIMIT 1
I, [2011-08-22T14:31:47.388705 #25498]  INFO -- : (0.032266s) SELECT * FROM `tags` WHERE (`name` = 'fhsf98r2u3777f00DSFHDljjdjs')
I, [2011-08-22T14:31:47.430851 #25498]  INFO -- : (0.040773s) SELECT `videos`.`created_at`, `videos`.`comment`, `videos`.`embed_tag`, `videos`.`primary_groupvideo_id`, `videos`.`id`, `videos`.`flv_media`, `videos`.`up_votes_count`, `videos`.`thumbnail`, `videos`.`title`, `videos`.`total_views`, `videos`.`orig_title`, `videos`.`description`, `videos`.`media` FROM `videos` WHERE 0 ORDER BY `videos`.`id` LIMIT 10
I, [2011-08-22T14:31:47.468798 #25498]  INFO -- : (0.037329s) SELECT `videos`.`created_at`, `videos`.`comment`, `videos`.`embed_tag`, `videos`.`primary_groupvideo_id`, `videos`.`id`, `videos`.`flv_media`, `videos`.`up_votes_count`, `videos`.`thumbnail`, `videos`.`title`, `videos`.`total_views`, `videos`.`orig_title`, `videos`.`description`, `videos`.`media` FROM `videos` WHERE 0 ORDER BY `videos`.`id` LIMIT 10
I, [2011-08-22T14:31:47.576465 #25498]  INFO -- : (0.037909s) SELECT `videos`.`created_at`, `videos`.`comment`, `videos`.`embed_tag`, `videos`.`primary_groupvideo_id`, `videos`.`id`, `videos`.`flv_media`, `videos`.`up_votes_count`, `videos`.`thumbnail`, `videos`.`title`, `videos`.`total_views`, `videos`.`orig_title`, `videos`.`description`, `videos`.`media` FROM `videos` WHERE (`videos`.`id` = '1342323') ORDER BY `videos`.`id` LIMIT 1
I, [2011-08-22T14:31:47.616838 #25498]  INFO -- : (0.036057s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2061550) LIMIT 1
I, [2011-08-22T14:31:47.656836 #25498]  INFO -- : (0.036962s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2061550) LIMIT 1
I, [2011-08-22T14:31:47.696066 #25498]  INFO -- : (0.036503s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2061550) LIMIT 1
I, [2011-08-22T14:31:47.736525 #25498]  INFO -- : (0.038586s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2061550) LIMIT 1
I, [2011-08-22T14:31:47.777121 #25498]  INFO -- : (0.035796s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 1342323) LIMIT 1
I, [2011-08-22T14:31:47.814448 #25498]  INFO -- : (0.035894s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 1342323) LIMIT 1
I, [2011-08-22T14:31:47.871111 #25498]  INFO -- : (0.036313s) SELECT `videos`.`created_at`, `videos`.`comment`, `videos`.`embed_tag`, `videos`.`primary_groupvideo_id`, `videos`.`id`, `videos`.`flv_media`, `videos`.`up_votes_count`, `videos`.`thumbnail`, `videos`.`title`, `videos`.`total_views`, `videos`.`orig_title`, `videos`.`description`, `videos`.`media`, `videos`.`id` FROM `videos` WHERE (`videos`.`id` = '1548742') ORDER BY `videos`.`id` LIMIT 1
I, [2011-08-22T14:31:47.911820 #25498]  INFO -- : (0.037620s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2406906) LIMIT 1
I, [2011-08-22T14:31:47.965899 #25498]  INFO -- : (0.052689s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2406906) LIMIT 1
I, [2011-08-22T14:31:48.090516 #25498]  INFO -- : (0.121182s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2406906) LIMIT 1
I, [2011-08-22T14:31:48.151507 #25498]  INFO -- : (0.058507s) SELECT * FROM `groupvideos` WHERE (`groupvideos`.`id` = 2406906) LIMIT 1
I, [2011-08-22T14:31:48.208519 #25498]  INFO -- : (0.053440s) SELECT COUNT(*) AS `count` FROM `groupvideos` WHERE (`groupvideos`.`video_id` = 1548742) LIMIT 1
I, [2011-08-22T14:31:48.270928 #25498]  INFO -- : (0.061484s) SELECT * FROM `video_host_records` WHERE (`video_host_records`.`video_id` = 1548742) LIMIT 1
I, [2011-08-22T14:31:49.145511 #25498]  INFO -- : (0.872224s) SELECT * FROM (SELECT * FROM `group_audits` WHERE ((`video_id` = 1548742) AND (`group_audits`.`action` = 'review_video')) UNION SELECT * FROM `group_audits` WHERE ((`video_id` = 1548742) AND (`group_audits`.`action` = 'add_video') AND (length(`group_audits`.`text`) > 0))) AS `t1` ORDER BY `created_at` DESC LIMIT 12
I, [2011-08-22T14:31:49.185418 #25498]  INFO -- : (0.035875s) SELECT * FROM `guest_users` WHERE (`id` = 2412868) LIMIT 1
